City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
tuktoyaktuk,69.4541,-22,84,100,7.2
arraial do cabo,-22.9661,24.98,88,0,6.69
ternate,0.8,27.91,78,97,4.27
severo-kurilsk,50.6789,-2.37,77,85,6.95
macusani,-14.0833,4.69,91,97,1.69
tautira,-17.7333,25.01,74,100,8.61
new norfolk,-42.7826,27.4,32,68,0.89
butaritari,3.0707,28.22,71,73,5.31
huntingdon,52.3305,5.15,93,21,2.48
sitka,57.0531,6.94,87,100,5.66
itoman,26.1247,19.08,96,75,7.2
taolanaro,19.7297,25.8,60,20,1.54
hilo,39.1834,-2.17,57,0,0.89
hamilton,-53.15,11.06,76,75,2.57
punta arenas,54.25,6.01,90,87,2.45
monaghan,-23.1203,25.97,74,100,4.98
rikitea,-0.6,27.94,71,71,7.49
tidore,-54.8,8.81,87,75,6.69
hithadhoo,33.194,0.97,87,32,0.3
ushuaia,29.5833,16.26,32,74,3.17
avera,46.0901,0.83,97,11,0.53
tsihombe,51.0239,-6.92,97,100,2.76
tiznit,3.0833,29.18,54,99,3.43
hauterive,-33.0153,22.25,71,0,8.12
krasnoarmeysk,-21.2,30.09,79,20,7.2
bonfim,-9.8,25.96,73,44,8.83
east london,42.8666,-1.35,69,0,3.13
vaini,72.7868,-23.45,65,81,3.05
atuona,-46.2817,16.07,51,56,4.49
sentyabrskiy,66,-22.99,99,19,2.29
casper,-17.7125,24.34,84,9,2.23
upernavik,50.6996,5.1,87,75,2.57
kaitangata,-2.7933,24.26,96,84,0.58
aykhal,22.0752,23.47,77,75,1.34
caravelas,-33.65,30.02,40,5,2.34
port hardy,66.7697,-22.05,98,100,5.99
barreirinha,-33.918,19.16,88,0,6.17
kapaa,42.6001,-10.66,68,75,1
busselton,14.8961,23.06,79,92,1.31
zhigansk,41.7992,-4.09,76,100,3.6
port elizabeth,58.3814,-20.98,100,100,0.67
albany,-26.6481,28.98,47,97,6.89
sao filipe,-34.4187,26,66,41,3.51
sturgis,-21.3393,25.61,89,75,2.06
boguchany,-9.6608,17.78,96,82,0.26
luderitz,-0.7393,23.62,81,94,3.61
hermanus,4.4148,25.08,94,20,0.51
saint-pierre,9.1924,26.02,77,99,2.32
saurimo,-33.9258,26.98,60,0,0.45
buqayq,16.8634,27.9,69,40,1.54
puerto ayora,7.0419,27.28,80,99,10.87
miri,-24.8667,35.04,10,24,6.69
tagusao,55.2999,3.12,60,100,2.06
cape town,59.7035,-7.06,100,92,0.51
acapulco,10.6167,22.03,86,26,0.89
kloulklubed,69.2167,-16.99,60,20,11.32
carnarvon,-16.4708,26.38,65,23,1.32
fevralsk,71.6872,-21.09,94,100,4.13
mackenzie,-37.6167,14.49,70,8,1.57
nikolskoye,27.9167,10.98,71,28,1.49
kampot,38.5917,-5.85,95,100,2.79
ilulissat,31.4044,12.77,63,4,8.8
rondonopolis,37.4966,-1.07,80,0,2.06
tiksi,65.4167,-12.94,93,100,7.84
lebu,62.2266,7.51,86,91,15.33
tezu,5.4112,25.85,88,20,0
cay,-13.8833,31.37,70,100,2.06
rosetta,66.0449,1.95,80,97,3.96
murgab,51.7102,-18.72,92,14,5.03
maniitsoq,35.7333,3.7,74,100,1.87
klaksvik,-34.5322,17.62,88,17,1.03
georgetown,28.017,10.97,46,99,3.07
sola,-21.3585,25.24,82,85,6.31
husavik,19.7667,24.27,94,20,4.12
katangli,41.5388,8.14,64,7,2.51
hasaki,-10.6167,28.33,74,84,2.4
bredasdorp,16.1667,16.41,94,4,2.89
san patricio,62.456,-27,86,100,5.14
saint-philippe,57.79,3.73,93,100,0
sosua,39.4101,-3.7,72,0,0
barcelos,26.326,7.25,32,0,3.67
samarai,50.0334,-16.83,94,21,1.35
gokak,14.1022,18.11,16,3,4.8
yellowknife,32.6667,16.77,78,63,2.15
attawapiskat,-25.4,19.97,76,20,2.53
kodiak,-12.5211,23.45,85,69,2.22
brigantine,-34.5833,24.75,70,76,3.13
buraydah,20.8783,26.15,79,2,3
port-cartier,5.8933,26.95,73,47,3.35
djibo,47.9714,-24.76,96,29,1.89
ponta do sol,-33.5906,22.04,73,0,11.87
taltal,64.8945,1.09,70,100,13.06
chilca,-0.9131,27.03,70,64,0.88
flinders,60.9167,-13.88,69,23,3.59
lahaina,-20.5167,26.21,83,40,3.6
sabang,44.5168,-6.48,80,76,1.79
ayagoz,53.5667,3.27,97,98,3.03
port alfred,37.04,1.05,75,19,2.81
olafsvik,-38.0023,22.17,93,100,0.89
biak,-20.4081,26.16,83,40,3.6
narsaq,37.7167,15.66,70,44,2.5
souillac,42.097,-5.82,36,100,7.2
wasaga beach,-42.8794,27.02,49,0,0.45
neubrandenburg,-46.1927,14.71,43,71,3.28
qarchi gak,40.5982,20.64,46,0,0.45
mar del plata,47.6666,-6.97,84,75,2.57
mahebourg,54.7682,-25.09,70,20,2.06
vila franca do campo,13.4317,20.63,15,28,5.58
jamestown,49.758,-30.81,100,88,1.1
hobart,-24.7,24.49,85,99,6.64
mataura,65.282,-18.98,71,75,3.09
fortuna,71.9667,-9.92,94,100,5.49
torbay,7.9986,20.36,89,87,0.57
flin flon,63.8424,1.26,86,100,10.29
segou,49.4169,-19,78,100,4.63
shirokiy,28.4682,16.76,84,0,2.24
ampanihy,60.3778,-17.67,100,91,0.96
norman wells,49.71,-18.69,90,99,1.28
khatanga,20.7,25.57,73,40,3.6
marawi,45.3167,-5.19,73,27,4.5
grindavik,-24.7911,21.8,68,75,0.67
vaitupu,44.3,-11.29,95,100,1.14
kapuskasing,3.8653,24.08,93,43,0.64
santa cruz de tenerife,7.1,20.85,65,1,0.57
teya,13.2167,17.81,14,1,4.33
shakhtinsk,-38.5473,22.24,95,100,4.33
ixtapa,-1.7625,25.97,91,87,2.06
beyneu,4.6374,21.96,94,20,0
castro,-17.8333,21.98,75,100,8.7
shihezi,58.4308,-15.63,100,94,1.27
illoqqortoormiut,-6.9811,26.37,73,0,4.2
inirida,41.3712,-6.73,73,0,1.54
ondo,-3.8004,24.26,88,100,1.82
gourcy,12.524,26.97,69,20,8.23
necochea,35.9642,-6.09,34,1,2.1
ipixuna,69.3833,-27.98,92,100,7.02
paka,-13.2,23.62,95,100,5.15
teahupoo,17.1561,23.08,94,75,2.06
plyussa,60.7522,4.97,65,41,3.09
cabedelo,45.75,-5.43,80,100,2.57
bethel,63.4427,1.86,100,100,4.12
bengkulu,55.1001,-23.86,70,75,1.03
oranjestad,38.5167,15.3,62,83,5.39
hashtgerd,9.0833,24.63,21,1,2.78
leningradskiy,34.8014,6.38,41,52,1.36
ambilobe,13.2167,23.34,73,20,4.63
barbar,-3.8,22.73,96,99,0.8
san ignacio,44.3876,-9.6,69,0,1.54
haines junction,64.8378,-10.49,81,75,0
orlat,21.3469,26.93,55,75,3.6
vestmannaeyjar,-21.2078,26.03,83,75,9.77
tabiauea,34.4506,4.54,50,0,4.99
la ronge,-35.6167,22.31,65,99,4.53
ribeira grande,61.5598,-16.96,100,92,1.04
bida,30.4833,17.16,54,1,1.77
meadow lake,58.9564,-14.49,94,100,4.01
bathsheba,55.3389,-23.42,100,85,1.92
lahat,15.4853,18.02,97,66,1.56
bar harbor,6.1241,19.19,100,20,0
fairbanks,63.9242,-32.93,99,100,1.06
makakilo city,-22.1333,24.41,92,95,1.79
avarua,47.358,-2.5,67,100,2.63
abu kamal,-4.9408,27,83,95,2.97
ngunguru,-8.9266,19.41,74,98,1.19
krasnoborsk,-20.0064,26.88,83,24,2.68
san quintin,-19.0595,25.94,89,50,3.09
tommot,54.4299,-12.41,97,91,3.13
mishkino,28.0996,13.56,78,20,0.89
chajul,73.5069,-19.85,99,98,3.15
hambantota,77.484,-24.15,85,100,3.66
sangar,42.2506,-6.88,45,100,0.45
manakara,-28.24,26.94,83,1,6.79
kuybysheve,-13.7,21.03,83,0,8.75
candawaga,42.7808,-5.49,89,57,2.59
katobu,45.41,-7.93,56,13,3.8
